area,year,sex,mx_mean,ex_mean,population_density
0,1990,3,0.000424314,80.21998893,5795.478709
0,1991,3,0.000397831,80.55371087,5795.478709
0,1992,3,0.000416314,79.9109526,5809.392814
0,1993,3,0.000403639,80.07752019,5823.306919
0,1994,3,0.000393595,80.44875659,5837.221025
0,1995,3,0.000408819,79.80712453,5851.13513
0,1996,3,0.000404893,80.1935441,5865.049235
0,1997,3,0.00037946,81.58450567,5754.604222
0,1998,3,0.000394887,81.73660456,5644.15921
0,1999,3,0.00039269,82.39091629,5533.714197
0,2000,3,0.000434014,81.91341175,5423.269184
0,2001,3,0.000418112,82.71363909,5312.824171
0,2002,3,0.000438251,82.56418676,5299.626228
0,2003,3,0.000407274,83.52916015,5286.428284
0,2004,3,0.000424926,83.21999695,5273.23034
0,2005,3,0.000440238,83.34150915,5260.032397
0,2006,3,0.000468987,82.97257906,5246.834453
0,2007,3,0.000475218,83.05671277,5285.095469
0,2008,3,0.000479059,82.99404651,5323.356486
0,2009,3,0.000437446,84.06774453,5361.617502
0,2010,3,0.000448,83.85908451,5399.878518
0,2011,3,0.00041211,84.96567378,5438.139535
0,2012,3,0.000429616,84.69502033,5417.488372
0,2013,3,0.000432717,84.55974498,5396.837209
0,2014,3,0.000391873,85.57580127,5376.186047
0,2015,3,0.000407812,85.02446618,5355.534884
0,2016,3,0.000400105,85.31546022,5334.883721
1,1990,3,0.000392352,80.09484084,1632.941176
1,1991,3,0.000389797,79.73902498,1632.941176
1,1992,3,0.000388505,79.67849988,1758.588235
1,1993,3,0.000394922,79.24322602,1884.235294
1,1994,3,0.000379427,79.72178761,2009.882353
1,1995,3,0.0003742,79.75037383,2135.529412
1,1996,3,0.000365832,80.26101647,2261.176471
1,1997,3,0.000382755,80.39014716,2215.433218
1,1998,3,0.000396166,80.67265032,2169.689965
1,1999,3,0.00041534,80.80311609,2123.946713
1,2000,3,0.000410627,81.65931096,2078.20346
1,2001,3,0.000414153,81.96263055,2032.460208
1,2002,3,0.000425849,81.98488594,2109.21424
1,2003,3,0.000434201,81.85866419,2185.968271
1,2004,3,0.000431225,82.12789835,2262.722303
1,2005,3,0.000458467,81.9479264,2339.476335
1,2006,3,0.00048031,81.77332074,2416.230366
1,2007,3,0.000451128,82.74117278,2453.09182
1,2008,3,0.000470064,82.41227483,2489.953274
1,2009,3,0.000452483,82.92404899,2526.814727
1,2010,3,0.000445627,83.22681173,2563.676181
1,2011,3,0.00042472,84.04556713,2600.537634
1,2012,3,0.000425435,84.11833988,2667.526882
1,2013,3,0.000429423,83.96541552,2734.516129
1,2014,3,0.000437548,83.71753117,2801.505376
1,2015,3,0.0004196,83.96716055,2868.494624
1,2016,3,0.000443676,83.34209766,2935.483871
2,1990,3,0.000418813,80.62643018,1634
2,1991,3,0.000387536,81.12275583,1634
2,1992,3,0.00038662,81.0683958,1794.6
2,1993,3,0.000378923,81.08790525,1955.2
2,1994,3,0.000381062,81.05231776,2115.8
2,1995,3,0.000381995,80.85662886,2276.4
2,1996,3,0.000354339,81.92557405,2437
2,1997,3,0.000376422,81.87012591,2522.457143
2,1998,3,0.000389277,82.12183414,2607.914286
2,1999,3,0.000391625,82.61989478,2693.371429
2,2000,3,0.000394067,83.26754254,2778.828571
2,2001,3,0.000405289,83.26871712,2864.285714
2,2002,3,0.000426741,83.14280164,2874.081633
2,2003,3,0.000403016,83.92935087,2883.877551
2,2004,3,0.000399162,84.26447579,2893.673469
2,2005,3,0.000432875,83.86829257,2903.469388
2,2006,3,0.000429357,84.37531776,2913.265306
2,2007,3,0.000419493,84.7618442,2946.488534
2,2008,3,0.000395669,85.47589692,2979.711761
2,2009,3,0.000389879,85.61949859,3012.934988
2,2010,3,0.000378668,85.99930231,3046.158216
2,2011,3,0.000377354,86.24148419,3079.381443
2,2012,3,0.000374534,86.43231321,3097.525773
2,2013,3,0.000360063,86.94605228,3115.670103
2,2014,3,0.0003662,86.68831242,3133.814433
2,2015,3,0.000360831,86.68583214,3151.958763
2,2016,3,0.000362275,86.65178784,3170.103093
3,1990,3,0.000388217,79.44741055,4486.284683
3,1991,3,0.000376094,79.36959119,4486.284683
