area,year,mx_mean,population_density,CT.x,CT.y,CSDNAME,Aboriginal,SocScore,MatScore,msd,CT,income,education,densitygroup,incomegroup,msdgroup,edugroup
0,1990,0.000157467,5795.478709,1.01,1.01,Vancouver,0.003261688,0.960814492,1.0245389,4.59E-06,1.01,32451,0.295451247,4,1,1,2
0,2005,7.43E-05,5260.032397,1.01,1.01,Vancouver,0.006370353,0.979301852,1.00302963,4.43E-06,1.01,60567,0.331447001,4,3,1,3
0,1994,0.000146654,5837.221025,1.01,1.01,Vancouver,0.005653804,0.969519914,1.021947913,4.91E-06,1.01,35306,0.285613833,4,1,1,2
0,2002,8.37E-05,5299.626228,1.01,1.01,Vancouver,0.00526005,0.97617963,1.007868519,4.52E-06,1.01,50509,0.27985665,4,2,1,2
0,1991,0.000165857,5795.478709,1.01,1.01,Vancouver,0.003261688,0.960814492,1.0245389,4.59E-06,1.01,32451,0.295451247,4,1,1,2
0,2006,7.88E-05,5246.834453,1.01,1.01,Vancouver,0.006740453,0.980342593,1.001416667,4.40E-06,1.01,63919,0.348643785,4,3,1,3
0,2014,6.11E-05,5376.186047,1.01,1.01,Vancouver,0.026585029,556.4798971,556.5013495,0.058110634,1.01,57474,0.389111747,4,3,5,4
0,2003,8.03E-05,5286.428284,1.01,1.01,Vancouver,0.005630151,0.97722037,1.006255556,4.49E-06,1.01,53862,0.297053434,4,2,1,2
0,1992,0.000165791,5809.392814,1.01,1.01,Vancouver,0.00405906,0.963716299,1.023675238,4.70E-06,1.01,33403,0.292172109,4,1,1,2
0,1996,0.000149427,5865.049235,1.01,1.01,Vancouver,0.007248548,0.97532353,1.020220588,5.12E-06,1.01,37210,0.279055557,4,1,1,2
0,2015,5.99E-05,5355.534884,1.01,1.01,Vancouver,0.024600719,741.6462192,741.6723269,0.077479595,1.01,59296,0.391579083,4,3,5,4
0,1993,0.000144715,5823.306919,1.01,1.01,Vancouver,0.004856432,0.966618107,1.022811575,4.80E-06,1.01,34355,0.288892971,4,1,1,2
0,2004,8.05E-05,5273.23034,1.01,1.01,Vancouver,0.006000252,0.978261111,1.004642593,4.46E-06,1.01,57214,0.314250218,4,3,1,2
0,1997,0.000144028,5754.604222,1.01,1.01,Vancouver,0.007146929,0.976327342,1.016459804,4.98E-06,1.01,39199,0.275776419,4,2,1,2
0,2001,8.81E-05,5312.824171,1.01,1.01,Vancouver,0.004889949,0.975138889,1.009481482,4.55E-06,1.01,47156,0.262659867,4,2,1,1
0,2009,7.61E-05,5361.617502,1.01,1.01,Vancouver,0.022218958,0.980695517,0.993616959,4.01E-06,1.01,57605,0.368483359,4,3,1,4
0,2010,7.51E-05,5399.878518,1.01,1.01,Vancouver,0.027378459,0.980813158,0.991017057,3.88E-06,1.01,55501,0.37509655,4,2,1,4
0,1998,0.000133759,5644.15921,1.01,1.01,Vancouver,0.00704531,0.977331155,1.012699019,4.83E-06,1.01,41189,0.272497281,4,2,1,2
0,2011,7.48E-05,5438.139535,1.01,1.01,Vancouver,0.032537961,0.9809308,0.988417154,3.75E-06,1.01,53396,0.381709742,4,2,1,4
0,1995,0.000150054,5851.13513,1.01,1.01,Vancouver,0.006451176,0.972421722,1.02108425,5.02E-06,1.01,36258,0.282334695,4,1,1,2
0,2008,7.71E-05,5323.356486,1.01,1.01,Vancouver,0.017059456,0.980577875,0.996216862,4.14E-06,1.01,59710,0.361870168,4,3,1,3
0,2012,7.28E-05,5417.488372,1.01,1.01,Vancouver,0.03055365,186.1472529,186.1593946,0.019372713,1.01,53830,0.384177077,4,2,4,4
0,2000,9.12E-05,5423.269184,1.01,1.01,Vancouver,0.006842072,0.97933878,1.005177451,4.55E-06,1.01,45167,0.265939005,4,2,1,1
0,2016,5.56E-05,5334.883721,1.01,1.01,Vancouver,0.022616408,926.8125413,926.8433044,0.096848555,1.01,61118,0.394046418,4,3,5,4
0,2013,6.67E-05,5396.837209,1.01,1.01,Vancouver,0.02856934,371.313575,371.330372,0.038741674,1.01,55652,0.386644412,4,2,5,4
0,1999,0.000118836,5533.714197,1.01,1.01,Vancouver,0.006943691,0.978334967,1.008938235,4.69E-06,1.01,43178,0.269218143,4,2,1,2
0,2007,7.34E-05,5285.095469,1.01,1.01,Vancouver,0.011899955,0.980460234,0.998816764,4.27E-06,1.01,61815,0.355256976,4,3,1,3
1,2014,4.68E-05,2801.505376,1.02,1.02,Vancouver,0.019569522,64.82448449,64.81405844,0.006680962,1.02,70031,0.394189456,2,3,4,4
1,1993,0.000134767,1884.235294,1.02,1.02,Vancouver,0.00780437,154.8763242,154.914153,0.016103063,1.02,48330,0.260889969,2,2,4,1
1,1990,0.000141008,1632.941176,1.02,1.02,Vancouver,0,164.8886885,164.9380328,0.017150976,1.02,43160,0.270731707,2,2,4,2
1,2009,6.33E-05,2526.814727,1.02,1.02,Vancouver,0.022004588,1.001828388,0.986615878,4.75E-06,1.02,65710,0.380518541,2,3,1,4
1,1991,0.000149913,1632.941176,1.02,1.02,Vancouver,0,164.8886885,164.9380328,0.017150976,1.02,43160,0.270731707,2,2,4,2
1,1998,0.000120279,2169.689965,1.02,1.02,Vancouver,0.016121567,84.31573645,84.32658138,0.008720893,1.02,58118,0.236285624,2,3,4,1
1,1995,0.000142733,2135.529412,1.02,1.02,Vancouver,0.015608741,144.8639599,144.8902732,0.01505515,1.02,53499,0.251048231,2,2,4,1
1,2010,6.10E-05,2563.676181,1.02,1.02,Vancouver,0.025660274,1.001546378,0.982503342,4.52E-06,1.02,62774,0.395370673,2,3,1,4
1,1992,0.000148015,1758.588235,1.02,1.02,Vancouver,0.003902185,159.8825064,159.9260929,0.01662702,1.02,45745,0.265810838,2,2,4,1
1,1994,0.000131897,2009.882353,1.02,1.02,Vancouver,0.011706556,149.8701421,149.9022131,0.015579107,1.02,50914,0.2559691,2,2,4,1
1,2000,8.12E-05,2078.20346,1.02,1.02,Vancouver,0.012732207,28.7736951,28.77482945,0.002910591,1.02,60152,0.226443885,2,3,4,1
1,2008,6.39E-05,2489.953274,1.02,1.02,Vancouver,0.018348901,1.002110399,0.990728415,4.98E-06,1.02,68645,0.365666409,2,3,1,3
1,2004,7.55E-05,2262.722303,1.02,1.02,Vancouver,0.008813996,1440.858938,1440.854892,0.150616875,1.02,69178,0.290186494,2,3,5,2
1,1997,0.000134864,2215.433218,1.02,1.02,Vancouver,0.017816246,112.0867571,112.1024573,0.011626043,1.02,57101,0.241206493,2,3,4,1
1,2001,8.94E-05,2032.460208,1.02,1.02,Vancouver,0.0054787,3600.643333,3600.6388,0.376534027,1.02,61169,0.221523016,2,3,5,1
1,2005,6.88E-05,2339.476335,1.02,1.02,Vancouver,0.009925762,720.9308061,720.9269228,0.075311158,1.02,71847,0.313074319,2,3,5,2
1,2016,4.17E-05,2935.483871,1.02,1.02,Vancouver,0.013071895,107.3732979,107.3711702,0.011132075,1.02,76826,0.383500557,3,4,4,4
1,2002,8.41E-05,2109.21424,1.02,1.02,Vancouver,0.006590465,2880.715201,2880.710831,0.30122831,1.02,63839,0.244410842,2,3,5,1
1,2013,5.09E-05,2734.516129,1.02,1.02,Vancouver,0.022818335,43.55007778,43.53550256,0.004455405,1.02,66633,0.399533906,2,3,4,4
1,1999,0.000106491,2123.946713,1.02,1.02,Vancouver,0.014426887,56.54471577,56.55070541,0.005815742,1.02,59135,0.231364755,2,3,4,1
1,2006,6.80E-05,2416.230366,1.02,1.02,Vancouver,0.011037528,1.002674419,0.998953488,5.44E-06,1.02,74517,0.335962145,2,4,2,3
1,2003,7.87E-05,2185.968271,1.02,1.02,Vancouver,0.007702231,2160.78707,2160.782861,0.225922593,1.02,66508,0.267298668,2,3,5,1
1,1996,0.000140493,2261.176471,1.02,1.02,Vancouver,0.019510926,139.8577778,139.8783333,0.014531194,1.02,56084,0.246127362,2,2,4,1
1,2007,6.40E-05,2453.09182,1.02,1.02,Vancouver,0.014693214,1.002392409,0.994840951,5.21E-06,1.02,71581,0.350814277,2,3,1,3
1,2011,5.98E-05,2600.537634,1.02,1.02,Vancouver,0.029315961,1.001264368,0.978390805,4.29E-06,1.02,59838,0.410222805,2,3,1,4
1,2015,4.55E-05,2868.494624,1.02,1.02,Vancouver,0.016320709,86.09889119,86.09261432,0.008906518,1.02,73428,0.388845007,2,4,4,4
1,2012,5.61E-05,2667.526882,1.02,1.02,Vancouver,0.026067148,22.27567107,22.25694668,0.002229848,1.02,63236,0.404878355,2,3,4,4
2,2004,6.75E-05,2893.673469,2.01,2.01,Vancouver,0.012868098,1.028875913,1.005970803,7.18E-06,2.01,65304,0.310953851,2,3,3,2
2,1995,0.000125763,2276.4,2.01,2.01,Vancouver,0.002462043,122.2237757,122.198957,0.012684274,2.01,55436,0.274712664,2,2,4,2
2,1994,0.000122349,2115.8,2.01,2.01,Vancouver,0.001846533,91.92164223,91.89958063,0.009514763,2.01,53373,0.281977894,2,2,4,2
2,2009,5.60E-05,3012.934988,2.01,2.01,Vancouver,0.011989835,1.026017138,1.001801016,6.81E-06,2.01,64475,0.388135979,3,3,2,4
2,2002,7.14E-05,2874.081633,2.01,2.01,Vancouver,0.010836985,1.021839416,1.005591241,6.79E-06,2.01,59798,0.257732138,2,3,2,1
2,2000,7.83E-05,2778.828571,2.01,2.01,Vancouver,0.01253488,31.33391175,31.30474695,0.00317681,2.01,57136,0.238386512,2,3,4,1
2,1999,0.000104024,2693.371429,2.01,2.01,Vancouver,0.010170548,61.63191109,61.60314354,0.006346054,2.01,57227,0.245651742,2,3,4,1
2,2010,5.27E-05,3046.158216,2.01,2.01,Vancouver,0.011020043,1.022718714,1.000284566,6.56E-06,2.01,62364,0.396122784,3,3,2,4
2,2003,6.77E-05,2883.877551,2.01,2.01,Vancouver,0.011852542,1.025357664,1.005781022,6.98E-06,2.01,62551,0.284342994,2,3,2,2
2,2001,7.34E-05,2864.285714,2.01,2.01,Vancouver,0.009821429,1.018321168,1.00540146,6.60E-06,2.01,57045,0.231121281,2,2,2,1
2,1996,0.000126372,2437,2.01,2.01,Vancouver,0.003077554,152.5259091,152.4983333,0.015853785,2.01,57499,0.267447433,2,3,4,1
2,1993,0.000125252,1955.2,2.01,2.01,Vancouver,0.001231022,61.6195088,61.60020429,0.006345251,2.01,51309,0.289243124,2,2,4,2
2,2008,5.78E-05,2979.711761,2.01,2.01,Vancouver,0.012959627,1.029315561,1.003317465,7.06E-06,2.01,66587,0.380149174,3,3,2,4
2,1990,0.000139457,1634,2.01,2.01,Vancouver,0,1.015241935,1.001451613,6.23E-06,2.01,47183,0.303773585,2,2,2,2
2,1997,0.000122944,2522.457143,2.01,2.01,Vancouver,0.005441886,122.2279098,122.1999367,0.012684541,2.01,57408,0.260182203,2,3,4,1
2,2005,6.29E-05,2903.469388,2.01,2.01,Vancouver,0.013883655,1.032394161,1.006160584,7.37E-06,2.01,68057,0.337564707,2,3,3,3
2,2016,3.68E-05,3170.103093,2.01,2.01,Vancouver,0.016570008,1.023478261,0.99326087,6.23E-06,2.01,72448,0.414913958,3,3,2,4
2,2014,4.11E-05,3133.814433,2.01,2.01,Vancouver,0.013962105,1.021855073,0.995463768,6.26E-06,2.01,67570,0.41059221,3,3,2,4
2,1991,0.000144796,1634,2.01,2.01,Vancouver,0,1.015241935,1.001451613,6.23E-06,2.01,47183,0.303773585,2,2,2,2
2,2006,6.46E-05,2913.265306,2.01,2.01,Vancouver,0.014899211,1.035912409,1.006350365,7.57E-06,2.01,70810,0.364175563,2,3,3,3
2,2015,4.04E-05,3151.958763,2.01,2.01,Vancouver,0.015266057,1.022666667,0.994362319,6.25E-06,2.01,70009,0.412753084,3,3,2,4
2,1992,0.000141462,1794.6,2.01,2.01,Vancouver,0.000615511,31.31737537,31.30082795,0.00317574,2.01,49246,0.296508355,2,2,4,2
2,2011,5.00E-05,3079.381443,2.01,2.01,Vancouver,0.010050251,1.01942029,0.998768116,6.31E-06,2.01,60252,0.404109589,3,3,2,4
2,2007,5.93E-05,2946.488534,2.01,2.01,Vancouver,0.013929419,1.032613985,1.004833915,7.31E-06,2.01,68698,0.372162369,3,3,3,4
2,2012,4.80E-05,3097.525773,2.01,2.01,Vancouver,0.011354203,1.020231884,0.997666667,6.29E-06,2.01,62691,0.406270463,3,3,2,4
2,1998,0.000111332,2607.914286,2.01,2.01,Vancouver,0.007806217,91.92991042,91.90154013,0.009515297,2.01,57317,0.252916972,2,3,4,1
2,2013,4.41E-05,3115.670103,2.01,2.01,Vancouver,0.012658154,1.021043478,0.996565218,6.28E-06,2.01,65130,0.408431337,3,3,2,4
3,2006,6.72E-05,5095.69378,2.04,2.04,Vancouver,0.00431241,287.7367323,287.6859724,0.029995858,2.04,45017,0.475398936,4,2,5,5
3,1996,0.000144131,4782.850624,2.04,2.04,Vancouver,0.016738234,254.6177362,254.571984,0.026531816,2.04,20224,0.325375269,4,1,4,3
3,1994,0.000142617,4664.224248,2.04,2.04,Vancouver,0.01451355,196.645286,196.6128224,0.020468493,2.04,20181,0.34107071,4,1,4,3
3,1997,0.000138701,4829.140507,2.04,2.04,Vancouver,0.014253069,261.2415354,261.1947817,0.027224624,2.04,21417,0.317527549,4,1,4,3
3,2005,6.55E-05,5079.415032,2.04,2.04,Vancouver,0.004609263,288.9978096,288.945374,0.030127681,2.04,41252,0.437546482,4,2,5,4
3,2002,7.56E-05,5030.578788,2.04,2.04,Vancouver,0.005499822,292.7810415,292.7235791,0.030523151,2.04,29956,0.323989121,4,1,5,3
3,1991,0.000166125,4486.284683,2.04,2.04,Vancouver,0.011176523,109.6866108,109.67408,0.011373507,2.04,20117,0.364613871,4,1,4,3
3,2009,6.14E-05,5369.00215,2.04,2.04,Vancouver,0.010733153,371.0028018,370.9497337,0.038705512,2.04,61633,0.476912821,4,3,5,5
3,2014,4.66E-05,5603.091787,2.04,2.04,Vancouver,0.012301918,444.8771831,444.8252764,0.046432961,2.04,73814,0.496289313,4,4,5,5
3,2003,7.13E-05,5046.857536,2.04,2.04,Vancouver,0.005202969,291.5199642,291.4641774,0.030391328,2.04,33721,0.361841575,4,1,5,3
3,2011,5.85E-05,5551.207729,2.04,2.04,Vancouver,0.015013649,426.5135147,426.458908,0.044511948,2.04,72710,0.477922078,4,3,5,5
3,2000,8.22E-05,4968.010157,2.04,2.04,Vancouver,0.006797575,281.1129331,281.0631747,0.02930305,2.04,24997,0.293984388,4,1,4,2
3,2008,6.34E-05,5277.89936,2.04,2.04,Vancouver,0.008592906,343.2474453,343.1951466,0.035802294,2.04,56094,0.476408193,4,2,5,5
3,1993,0.000142546,4604.91106,2.04,2.04,Vancouver,0.013401208,167.659061,167.6332416,0.017436831,2.04,20160,0.34891843,4,1,4,3
3,2012,5.61E-05,5568.502415,2.04,2.04,Vancouver,0.014109738,432.6347375,432.5810308,0.045152286,2.04,73078,0.48404449,4,4,5,5
3,1990,0.000154813,4486.284683,2.04,2.04,Vancouver,0.011176523,109.6866108,109.67408,0.011373507,2.04,20117,0.364613871,4,1,4,3
3,2016,4.13E-05,5637.681159,2.04,2.04,Vancouver,0.010494097,457.1196287,457.069522,0.047713636,2.04,74551,0.508534137,4,4,5,5
3,1998,0.000122106,4875.430391,2.04,2.04,Vancouver,0.011767905,267.8653346,267.8175794,0.027917433,2.04,22610,0.309679829,4,1,4,2
3,2001,7.86E-05,5014.30004,2.04,2.04,Vancouver,0.005796675,294.0421189,293.9829807,0.030654974,2.04,26191,0.286136667,4,1,5,2
3,1995,0.000146115,4723.537436,2.04,2.04,Vancouver,0.015625892,225.6315111,225.5924032,0.023500154,2.04,20202,0.33322299,4,1,4,3
3,1999,0.000108401,4921.720274,2.04,2.04,Vancouver,0.00928274,274.4891339,274.440377,0.028610241,2.04,23804,0.301832108,4,1,4,2
3,2015,4.60E-05,5620.386473,2.04,2.04,Vancouver,0.011398007,450.9984059,450.9473992,0.047073298,2.04,74183,0.502411725,4,4,5,5
3,2007,6.42E-05,5186.79657,2.04,2.04,Vancouver,0.006452658,315.4920888,315.4405595,0.032899076,2.04,50556,0.475903565,4,2,5,5
3,1992,0.000162407,4545.597872,2.04,2.04,Vancouver,0.012288865,138.6728359,138.6536608,0.014405169,2.04,20138,0.356766151,4,1,4,3
3,2010,5.97E-05,5460.10494,2.04,2.04,Vancouver,0.012873401,398.7581582,398.7043209,0.04160873,2.04,67171,0.47741745,4,3,5,5
3,2004,7.20E-05,5063.136284,2.04,2.04,Vancouver,0.004906116,290.2588869,290.2047757,0.030259505,2.04,37486,0.399694029,4,1,5,4
3,2013,5.04E-05,5585.797101,2.04,2.04,Vancouver,0.013205828,438.7559603,438.7031536,0.045792623,2.04,73446,0.490166901,4,4,5,5
4,2005,7.61E-05,6708.862811,3.01,3.01,Vancouver,0.001158194,120.3534011,120.2875915,0.012486486,3.01,62683,0.50185263,4,3,4,5
4,1995,0.00016122,4568.587423,3.01,3.01,Vancouver,0.014471042,1.022336818,0.957088269,4.28E-06,3.01,14563,0.374489363,4,1,1,4
4,2016,4.76E-05,6879.62963,3.01,3.01,Vancouver,0.015027322,1.032409639,0.959879518,4.95E-06,3.01,73472,0.542763158,4,4,1,5
4,1998,0.000138983,5344.969431,3.01,3.01,Vancouver,0.010303831,48.64046692,48.57373289,0.00498514,3.01,32497,0.331672174,4,1,4,3
4,1996,0.000164119,4644.171779,3.01,3.01,Vancouver,0.017173052,1.022682927,0.954634146,4.17E-06,3.01,14499,0.360216967,4,1,1,3
4,2000,9.28E-05,6045.767083,3.01,3.01,Vancouver,0.00343461,96.25825091,96.19283163,0.009966112,3.01,50495,0.303127382,4,2,4,2
4,1994,0.000156099,4493.003067,3.01,3.01,Vancouver,0.011769032,1.021990709,0.959542392,4.39E-06,3.01,14628,0.388761759,4,1,1,4
4,1993,0.000158411,4417.418712,3.01,3.01,Vancouver,0.009067023,1.021644599,0.961996516,4.50E-06,3.01,14692,0.403034155,3,1,1,4
4,1997,0.000154975,4994.570605,3.01,3.01,Vancouver,0.013738441,24.83157492,24.76418352,0.002494655,3.01,23498,0.34594457,4,1,4,3
4,1990,0.000168879,4266.25,3.01,3.01,Vancouver,0.003663004,1.020952381,0.966904762,4.72E-06,3.01,14821,0.431578947,3,1,1,4
4,1999,0.000121617,5695.368257,3.01,3.01,Vancouver,0.006869221,72.44935891,72.38328226,0.007475626,3.01,41496,0.317399778,4,2,4,3
4,2014,5.43E-05,6921.851852,3.01,3.01,Vancouver,0.016808601,1.031689686,0.953586247,4.59E-06,3.01,67994,0.530819185,4,3,1,5
4,2002,8.64E-05,6474.340135,3.01,3.01,Vancouver,0.004632778,121.2121755,121.1432232,0.01257615,3.01,60291,0.342104397,4,3,4,3
4,2011,6.79E-05,6985.185185,3.01,3.01,Vancouver,0.019480519,1.030609756,0.944146341,4.04E-06,3.01,59778,0.512903226,4,3,1,5
4,2007,7.11E-05,6826.666667,3.01,3.01,Vancouver,0.003896104,96.25983627,96.19073407,0.009966085,3.01,62740,0.546662278,4,3,4,5
4,2008,7.10E-05,6866.296296,3.01,3.01,Vancouver,0.007792208,72.45252964,72.37908714,0.007475572,3.01,62000,0.538222515,4,3,4,5
4,2015,5.24E-05,6900.740741,3.01,3.01,Vancouver,0.015917962,1.032049662,0.956732883,4.77E-06,3.01,70733,0.536791171,4,3,1,5
4,2004,8.18E-05,6630.688586,3.01,3.01,Vancouver,0.002316389,120.6396592,120.5728021,0.012516374,3.01,61886,0.448603219,4,3,4,5
4,2012,6.44E-05,6964.074074,3.01,3.01,Vancouver,0.01858988,1.030969733,0.947292976,4.22E-06,3.01,62517,0.518875212,4,3,1,5
4,2001,8.96E-05,6396.165909,3.01,3.01,Vancouver,0.005790972,121.4984337,121.4284337,0.012606039,3.01,59493,0.288854986,4,3,4,2
4,2009,7.03E-05,6905.925926,3.01,3.01,Vancouver,0.011688312,48.64522301,48.5674402,0.00498506,3.01,61259,0.529782752,4,3,4,5
4,1991,0.000177497,4266.25,3.01,3.01,Vancouver,0.003663004,1.020952381,0.966904762,4.72E-06,3.01,14821,0.431578947,3,1,1,4
4,2006,7.66E-05,6787.037037,3.01,3.01,Vancouver,0,120.0671429,120.002381,0.012456597,3.01,63481,0.555102041,4,3,4,5
4,2010,6.94E-05,6945.555556,3.01,3.01,Vancouver,0.015584416,24.83791638,24.75579327,0.002494548,3.01,60519,0.521342989,4,3,4,5
4,1992,0.000175841,4341.834356,3.01,3.01,Vancouver,0.006365013,1.02129849,0.964450639,4.61E-06,3.01,14756,0.417306551,3,1,1,4
4,2013,5.83E-05,6942.962963,3.01,3.01,Vancouver,0.017699241,1.031329709,0.950439612,4.40E-06,3.01,65256,0.524847199,4,3,1,5
4,2003,8.15E-05,6552.51436,3.01,3.01,Vancouver,0.003474583,120.9259174,120.8580126,0.012546262,3.01,61088,0.395353808,4,3,4,4
5,2009,8.61E-05,4141.961068,3.02,3.02,Vancouver,0.012962444,1231.266378,1231.19651,0.128689689,3.02,57692,0.567765337,3,3,5,5
