area,year,mx_mean,population_density,CT.x,CT.y,CSDNAME,Aboriginal,SocScore,MatScore,msd,education,msdgroup,matgroup,socgroup,edugroup,densitygroup
0,1990,3.33E-05,5795.478709,1.01,1.01,Vancouver,0.003261688,0.039185509,-0.0245389,0.99999541,0.295451247,5,3,5,3,5
0,2005,2.51E-05,5260.032397,1.01,1.01,Vancouver,0.006370353,0.020698148,-0.00302963,0.999995568,0.331447001,5,4,5,2,4
0,1994,2.64E-05,5837.221025,1.01,1.01,Vancouver,0.005653804,0.030480086,-0.021947913,0.999995091,0.285613833,5,3,5,2,5
0,2002,2.55E-05,5299.626228,1.01,1.01,Vancouver,0.00526005,0.02382037,-0.007868519,0.999995479,0.27985665,5,4,5,2,5
0,1991,2.91E-05,5795.478709,1.01,1.01,Vancouver,0.003261688,0.039185509,-0.0245389,0.99999541,0.295451247,5,3,5,3,5
0,2006,2.48E-05,5246.834453,1.01,1.01,Vancouver,0.006740453,0.019657408,-0.001416666,0.999995598,0.348643785,5,4,5,2,4
0,2014,4.03E-05,5376.186047,1.01,1.01,Vancouver,0.026585029,-555.4798971,-555.5013495,0.941889366,0.389111747,1,1,1,2,4
0,2003,2.54E-05,5286.428284,1.01,1.01,Vancouver,0.005630151,0.02277963,-0.006255555,0.999995509,0.297053434,5,4,5,2,5
0,1992,2.70E-05,5809.392814,1.01,1.01,Vancouver,0.00405906,0.036283701,-0.023675238,0.999995304,0.292172109,5,3,5,3,5
0,1996,2.18E-05,5865.049235,1.01,1.01,Vancouver,0.007248548,0.024676471,-0.020220588,0.999994877,0.279055557,4,3,5,2,5
0,2015,2.03E-05,5355.534884,1.01,1.01,Vancouver,0.024600719,-740.6462192,-740.6723269,0.922520405,0.391579083,1,1,1,2,4
0,1993,3.49E-05,5823.306919,1.01,1.01,Vancouver,0.004856432,0.033381893,-0.022811575,0.999995197,0.288892971,5,3,5,3,5
0,2004,4.22E-05,5273.23034,1.01,1.01,Vancouver,0.006000252,0.021738889,-0.004642592,0.999995539,0.314250218,5,4,5,2,4
0,1997,3.84E-05,5754.604222,1.01,1.01,Vancouver,0.007146929,0.023672658,-0.016459804,0.999995022,0.275776419,5,4,5,2,5
0,2001,2.65E-05,5312.824171,1.01,1.01,Vancouver,0.004889949,0.024861111,-0.009481481,0.999995449,0.262659867,5,4,5,2,5
0,2009,2.53E-05,5361.617502,1.01,1.01,Vancouver,0.022218958,0.019304483,0.006383041,0.999995988,0.368483359,5,4,5,2,4
0,2010,2.52E-05,5399.878518,1.01,1.01,Vancouver,0.027378459,0.019186842,0.008982943,0.999996118,0.37509655,5,4,5,2,4
